"variable","n_terms","metric_standalone","metric_drop","pct_drop","outcome","mode","predictor_set_name","qc_variant","outcome_label","var_label"
"tr_max_vel",1,0.046,0.002,1.3,"VeVco2_slope","mars","heart_bmi_primary","complete_case","VE/VCO₂ Slope","TR Vmax"
"e_e_ave",1,0.033,0,0.2,"VeVco2_slope","mars","heart_bmi_primary","complete_case","VE/VCO₂ Slope","E/e' (average)"
"la_vol_index",2,0.092,0.052,27.6,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","LAVI"
"med_peak_e_vel",2,0.054,0.026,13.6,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","Medial septal e'"
"age",2,0.038,0.024,12.7,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","Age"
"Sex_num",1,0.021,0.011,5.9,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","Female sex"
"lv_septal_thickness",2,0.01,0.004,2,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","LV septal thickness"
"tr_max_vel",2,0.046,0.004,1.9,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","TR Vmax"
"BMI",2,0.002,0.003,1.5,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","BMI"
"lvot_gradient_cont",2,0.008,0.002,1.1,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","Max LVOT gradient"
"e_e_ave",2,0.034,0.002,0.9,"VeVco2_slope","additive","heart_bmi_primary","complete_case","VE/VCO₂ Slope","E/e' (average)"
"la_vol_index",2,0.092,0.06,34.5,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","LAVI"
"age",1,0.03,0.018,10.3,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","Age"
"LBMI",1,0.01,0.012,7,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","LBMI"
"Sex_num",1,0.021,0.011,6.5,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","Female sex"
"med_peak_e_vel",1,0.036,0.01,5.8,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","Medial septal e'"
"lv_septal_thickness",1,0.009,0.003,1.6,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","LV septal thickness"
"lvot_gradient_cont",1,0.007,0.002,1.3,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","Max LVOT gradient"
"tr_max_vel",1,0.046,0.002,0.9,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","TR Vmax"
"e_e_ave",1,0.033,0,0,"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","VE/VCO₂ Slope","E/e' (average)"
"Sex_num",1,0.03,0.025,20.7,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","Female sex"
"lvot_gradient_cont",1,0.024,0.014,11.2,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","Max LVOT gradient"
"age",1,0.017,0.012,9.8,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","Age"
"la_vol_index",1,0.042,0.011,9.2,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","LAVI"
"trv_value",1,0.014,0.005,3.8,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","TR Vmax value"
"med_peak_e_vel",1,0.028,0.003,2.7,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","Medial septal e'"
"trv_missing",1,0.007,0.003,2.3,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","TR Vmax missing indicator"
"lv_septal_thickness",1,0.005,0.001,0.7,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","LV septal thickness"
"BMI",1,0.001,0.001,0.7,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","BMI"
"e_e_ave",1,0.035,0,0.2,"VeVco2_slope","mars","heart_trv_missing_sensitivity","trv_missing_sensitivity","VE/VCO₂ Slope","E/e' (average)"
"la_vol_index",2,0.126,0.064,32.6,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","LAVI"
"med_peak_e_vel",1,0.054,0.018,9.3,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","Medial septal e'"
"tr_max_vel",1,0.087,0.013,6.4,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","TR Vmax"
"Sex_num",1,0.021,0.012,6.2,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","Female sex"
"age",1,0.017,0.006,3.1,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","Age"
"e_e_ave",1,0.03,0.004,2,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","E/e' (average)"
"lv_septal_thickness",1,0.012,0,0.2,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","LV septal thickness"
"max_pg_30",1,0.003,0,0.2,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","LVOT >30 mm Hg"
"BMI",1,0,0,0,"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","VE/VCO₂ Slope","BMI"
"la_vol_index",2,0.122,0.042,21.4,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","LAVI"
"tr_max_vel",1,0.119,0.024,12,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","TR Vmax"
"med_peak_e_vel",1,0.068,0.019,9.5,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","Medial septal e'"
"Sex_num",1,0.014,0.005,2.8,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","Female sex"
"lvot_gradient_cont",1,0.018,0.004,1.8,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","Max LVOT gradient"
"lv_septal_thickness",1,0.004,0.002,1.1,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","LV septal thickness"
"e_e_ave",1,0.054,0.002,0.8,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","E/e' (average)"
"age",1,0.008,0.001,0.7,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","Age"
"BMI",1,0,0,0.2,"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","VE/VCO₂ Slope","BMI"
"la_vol_index",2,0.092,0.074,35.7,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","LAVI"
"tr_max_vel",2,0.057,0.027,13.1,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","TR Vmax"
"med_peak_e_vel",2,0.051,0.023,11.1,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","Medial septal e'"
"age",1,0.03,0.018,8.9,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","Age"
"Sex_num",1,0.021,0.015,7.3,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","Female sex"
"lv_septal_thickness",1,0.009,0.004,2,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","LV septal thickness"
"BMI",1,0.001,0.004,1.9,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","BMI"
"lvot_gradient_cont",1,0.007,0.003,1.4,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","Max LVOT gradient"
"e_e_ave",2,0.033,0.002,0.8,"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","VE/VCO₂ Slope","E/e' (average)"
